RE41M09_R,RE41M05_R,RE41M07_R,RE41M10_R,RE41M13_R,RE41M15_R,RE41M02_R,RE41M11_R,RE41M14_R
233,24,36,75,6,10,37,123,52
227,55,64,118,35,57,180,99,282
24,274,15,83,6,83,43,303,160
85,18,17,47,8,45,19,37,90
5,28,14,48,9,6,127,28,59
60,16,33,102,38,34,201,216,290
20,10,39,28,5,20,17,59,52
26,82,93,52,43,107,105,299,579
120,15,87,141,3,7,18,14,384
11,35,20,120,12,16,13,16,51
15,30,13,20,7,14,19,18,5
22,53,55,52,24,59,39,56,292
8,24,16,7,15,9,55,6,1
10,20,33,1,13,6,53,17,1
5,22,29,51,8,16,88,6,79
49,27,11,25,15,23,178,444,84
81,19,28,123,8,34,74,25,36
26,24,11,62,9,27,46,17,167
35,10,16,46,10,39,4,18,211
50,31,11,57,18,63,45,40,142
46,66,50,82,23,49,32,96,206
37,124,57,73,27,14,63,13,143
88,39,43,76,10,87,75,39,278
52,22,28,42,4,27,20,26,83
1,3,2,46,23,0,122,0,16
35,45,137,15,12,24,24,10,43
111,51,16,85,11,21,16,49,217
117,34,49,76,56,16,134,73,292
47,34,1,165,25,22,35,38,249
30,45,98,70,15,127,88,70,264
40,18,40,60,6,65,138,85,405
34,23,117,63,8,33,129,83,147
42,14,23,6,0,0,69,1,0
23,105,46,0,17,12,63,1,277
61,25,34,56,12,38,17,16,26
43,33,88,36,16,43,101,34,18
40,40,162,99,44,59,163,70,89
22,6,29,264,18,121,27,26,553
48,0,39,89,40,21,71,16,128
133,27,54,110,20,47,49,24,157
44,15,63,72,3,15,54,62,142
71,63,18,108,28,169,28,75,278
182,136,245,62,11,18,173,54,337
3,14,85,41,11,1,226,28,11
3,526,31,142,19,38,65,26,20
23,44,33,50,10,31,39,32,1
20,15,20,204,10,25,20,42,135
17,12,28,53,7,18,24,37,34
16,7,8,37,7,17,43,10,53
32,40,8,70,7,15,11,61,70
17,2,35,27,34,17,9,21,52
23,66,253,159,26,22,166,62,466
18,29,57,36,2,12,18,5,112
29,16,11,32,4,13,10,49,94
83,129,63,84,40,115,204,113,263
64,6,11,65,7,20,4,22,420
26,48,57,53,22,9,89,36,45
28,65,80,44,23,12,22,35,135
22,44,59,173,14,5,47,40,194
28,20,62,47,28,1,48,42,4
25,87,49,219,19,12,22,29,42
79,201,96,165,17,32,85,55,343
26,17,25,79,11,23,229,19,214
37,31,17,46,22,44,57,43,130
21,16,27,42,9,16,33,19,119
19,30,54,46,26,50,27,103,401
50,56,43,48,23,49,33,90,142
18,35,1,130,7,15,21,55,48
51,131,90,53,16,25,28,30,56
32,19,17,50,48,16,3,7,115
33,49,66,72,7,19,7,89,110
5,9,117,17,2,5,12,9,32
233,71,168,88,3,56,59,15,33
142,32,82,37,17,127,28,99,52
16,2,103,133,8,21,17,18,43
88,2,27,25,4,31,48,24,84
100,32,29,105,13,14,2,23,113
50,29,12,27,29,13,14,22,31
51,41,117,53,57,18,51,38,48
22,28,21,133,7,33,19,17,202
18,27,3,58,43,29,30,144,230
